,date,symbol,open,high,low,close
220,20240626 15:10:00 US/Central,SR3H5,95.405,95.41,95.4,95.405
221,20240626 15:20:00 US/Central,SR3H5,95.405,95.405,95.395,95.4
222,20240626 15:30:00 US/Central,SR3H5,95.4,95.405,95.395,95.4
223,20240626 15:40:00 US/Central,SR3H5,95.4,95.4,95.39,95.4
224,20240626 15:50:00 US/Central,SR3H5,95.4,95.4,95.395,95.4
225,20240627 08:30:00 US/Central,SR3H5,95.43,95.435,95.425,95.43
226,20240627 08:40:00 US/Central,SR3H5,95.43,95.435,95.425,95.435
227,20240627 08:50:00 US/Central,SR3H5,95.435,95.445,95.43,95.44
228,20240627 09:00:00 US/Central,SR3H5,95.44,95.45,95.435,95.44
229,20240627 09:10:00 US/Central,SR3H5,95.44,95.45,95.44,95.45
230,20240627 09:20:00 US/Central,SR3H5,95.45,95.45,95.44,95.44
231,20240627 09:30:00 US/Central,SR3H5,95.44,95.445,95.44,95.44
232,20240627 09:40:00 US/Central,SR3H5,95.44,95.45,95.44,95.45
233,20240627 09:50:00 US/Central,SR3H5,95.45,95.45,95.44,95.44
234,20240627 10:00:00 US/Central,SR3H5,95.44,95.45,95.44,95.44
235,20240627 10:10:00 US/Central,SR3H5,95.44,95.445,95.44,95.44
236,20240627 10:20:00 US/Central,SR3H5,95.44,95.445,95.435,95.44
237,20240627 10:30:00 US/Central,SR3H5,95.44,95.44,95.435,95.44
238,20240627 10:40:00 US/Central,SR3H5,95.44,95.44,95.43,95.435
239,20240627 10:50:00 US/Central,SR3H5,95.435,95.435,95.43,95.435
240,20240627 11:00:00 US/Central,SR3H5,95.435,95.44,95.43,95.44
241,20240627 11:10:00 US/Central,SR3H5,95.44,95.44,95.43,95.435
242,20240627 11:20:00 US/Central,SR3H5,95.435,95.435,95.43,95.435
243,20240627 11:30:00 US/Central,SR3H5,95.435,95.435,95.43,95.435
244,20240627 11:40:00 US/Central,SR3H5,95.435,95.435,95.43,95.435
245,20240627 11:50:00 US/Central,SR3H5,95.435,95.435,95.43,95.435
246,20240627 12:00:00 US/Central,SR3H5,95.435,95.44,95.43,95.435
247,20240627 12:10:00 US/Central,SR3H5,95.435,95.44,95.43,95.435
248,20240627 12:20:00 US/Central,SR3H5,95.435,95.44,95.43,95.435
249,20240627 12:30:00 US/Central,SR3H5,95.435,95.435,95.43,95.435
250,20240627 12:40:00 US/Central,SR3H5,95.435,95.435,95.425,95.435
251,20240627 12:50:00 US/Central,SR3H5,95.435,95.435,95.43,95.435
252,20240627 13:00:00 US/Central,SR3H5,95.435,95.435,95.43,95.435
253,20240627 13:10:00 US/Central,SR3H5,95.435,95.435,95.43,95.435
254,20240627 13:20:00 US/Central,SR3H5,95.435,95.435,95.425,95.43
255,20240627 13:30:00 US/Central,SR3H5,95.43,95.435,95.425,95.435
256,20240627 13:40:00 US/Central,SR3H5,95.435,95.435,95.425,95.435
257,20240627 13:50:00 US/Central,SR3H5,95.435,95.435,95.43,95.435
258,20240627 14:00:00 US/Central,SR3H5,95.435,95.435,95.425,95.43
259,20240627 14:10:00 US/Central,SR3H5,95.43,95.435,95.425,95.435
260,20240627 14:20:00 US/Central,SR3H5,95.435,95.435,95.43,95.435
261,20240627 14:30:00 US/Central,SR3H5,95.435,95.435,95.43,95.435
262,20240627 14:40:00 US/Central,SR3H5,95.435,95.435,95.43,95.435
263,20240627 14:50:00 US/Central,SR3H5,95.435,95.435,95.43,95.435
264,20240627 15:00:00 US/Central,SR3H5,95.435,95.44,95.43,95.435
265,20240627 15:10:00 US/Central,SR3H5,95.435,95.435,95.43,95.435
266,20240627 15:20:00 US/Central,SR3H5,95.435,95.435,95.43,95.435
267,20240627 15:30:00 US/Central,SR3H5,95.435,95.44,95.43,95.44
268,20240627 15:40:00 US/Central,SR3H5,95.44,95.44,95.435,95.44
269,20240627 15:50:00 US/Central,SR3H5,95.44,95.44,95.43,95.435
270,20240628 08:30:00 US/Central,SR3H5,95.47,95.475,95.465,95.47
271,20240628 08:40:00 US/Central,SR3H5,95.47,95.475,95.46,95.47
272,20240628 08:50:00 US/Central,SR3H5,95.47,95.48,95.47,95.47
273,20240628 09:00:00 US/Central,SR3H5,95.47,95.48,95.46,95.47
274,20240628 09:10:00 US/Central,SR3H5,95.47,95.47,95.46,95.465
275,20240628 09:20:00 US/Central,SR3H5,95.465,95.465,95.455,95.46
276,20240628 09:30:00 US/Central,SR3H5,95.46,95.47,95.455,95.465
277,20240628 09:40:00 US/Central,SR3H5,95.465,95.465,95.45,95.455
278,20240628 09:50:00 US/Central,SR3H5,95.455,95.455,95.44,95.44
279,20240628 10:00:00 US/Central,SR3H5,95.44,95.45,95.435,95.44
280,20240628 10:10:00 US/Central,SR3H5,95.44,95.45,95.435,95.45
281,20240628 10:20:00 US/Central,SR3H5,95.45,95.455,95.445,95.455
282,20240628 10:30:00 US/Central,SR3H5,95.455,95.455,95.445,95.45
283,20240628 10:40:00 US/Central,SR3H5,95.45,95.45,95.44,95.44
284,20240628 10:50:00 US/Central,SR3H5,95.44,95.45,95.44,95.44
285,20240628 11:00:00 US/Central,SR3H5,95.44,95.45,95.44,95.44
286,20240628 11:10:00 US/Central,SR3H5,95.44,95.45,95.435,95.44
287,20240628 11:20:00 US/Central,SR3H5,95.44,95.445,95.43,95.44
288,20240628 11:30:00 US/Central,SR3H5,95.44,95.44,95.425,95.435
289,20240628 11:40:00 US/Central,SR3H5,95.435,95.435,95.425,95.43
290,20240628 11:50:00 US/Central,SR3H5,95.43,95.435,95.425,95.43
291,20240628 12:00:00 US/Central,SR3H5,95.43,95.435,95.425,95.435
292,20240628 12:10:00 US/Central,SR3H5,95.435,95.44,95.43,95.44
293,20240628 12:20:00 US/Central,SR3H5,95.44,95.44,95.43,95.435
294,20240628 12:30:00 US/Central,SR3H5,95.435,95.435,95.425,95.43
295,20240628 12:40:00 US/Central,SR3H5,95.43,95.435,95.425,95.435
296,20240628 12:50:00 US/Central,SR3H5,95.435,95.435,95.425,95.435
297,20240628 13:00:00 US/Central,SR3H5,95.435,95.44,95.43,95.44
298,20240628 13:10:00 US/Central,SR3H5,95.44,95.445,95.435,95.44
299,20240628 13:20:00 US/Central,SR3H5,95.44,95.445,95.435,95.44
300,20240628 13:30:00 US/Central,SR3H5,95.44,95.445,95.44,95.44
301,20240628 13:40:00 US/Central,SR3H5,95.44,95.445,95.43,95.44
302,20240628 13:50:00 US/Central,SR3H5,95.44,95.44,95.43,95.44
303,20240628 14:00:00 US/Central,SR3H5,95.44,95.44,95.425,95.43
304,20240628 14:10:00 US/Central,SR3H5,95.43,95.435,95.425,95.435
305,20240628 14:20:00 US/Central,SR3H5,95.435,95.435,95.43,95.435
306,20240628 14:30:00 US/Central,SR3H5,95.435,95.435,95.43,95.435
307,20240628 14:40:00 US/Central,SR3H5,95.435,95.435,95.425,95.435
308,20240628 14:50:00 US/Central,SR3H5,95.435,95.445,95.425,95.44
309,20240628 15:00:00 US/Central,SR3H5,95.44,95.445,95.405,95.42
310,20240628 15:10:00 US/Central,SR3H5,95.42,95.425,95.415,95.42
311,20240628 15:20:00 US/Central,SR3H5,95.42,95.425,95.41,95.42
312,20240628 15:30:00 US/Central,SR3H5,95.42,95.425,95.41,95.42
313,20240628 15:40:00 US/Central,SR3H5,95.42,95.42,95.405,95.405
314,20240628 15:50:00 US/Central,SR3H5,95.405,95.41,95.4,95.405
315,20240701 08:30:00 US/Central,SR3H5,95.38,95.385,95.38,95.38
316,20240701 08:40:00 US/Central,SR3H5,95.38,95.395,95.38,95.39
317,20240701 08:50:00 US/Central,SR3H5,95.39,95.395,95.385,95.395
318,20240701 09:00:00 US/Central,SR3H5,95.395,95.43,95.395,95.405
319,20240701 09:10:00 US/Central,SR3H5,95.405,95.41,95.395,95.4
320,20240701 09:20:00 US/Central,SR3H5,95.4,95.4,95.38,95.39
321,20240701 09:30:00 US/Central,SR3H5,95.39,95.39,95.375,95.375
322,20240701 09:40:00 US/Central,SR3H5,95.375,95.385,95.37,95.375
323,20240701 09:50:00 US/Central,SR3H5,95.375,95.38,95.37,95.375
324,20240701 10:00:00 US/Central,SR3H5,95.375,95.38,95.365,95.375
325,20240701 10:10:00 US/Central,SR3H5,95.375,95.385,95.375,95.38
326,20240701 10:20:00 US/Central,SR3H5,95.38,95.39,95.38,95.385
327,20240701 10:30:00 US/Central,SR3H5,95.385,95.395,95.38,95.39
328,20240701 10:40:00 US/Central,SR3H5,95.39,95.395,95.385,95.39
329,20240701 10:50:00 US/Central,SR3H5,95.39,95.395,95.385,95.39
330,20240701 11:00:00 US/Central,SR3H5,95.39,95.395,95.39,95.39
331,20240701 11:10:00 US/Central,SR3H5,95.39,95.4,95.39,95.4
332,20240701 11:20:00 US/Central,SR3H5,95.4,95.4,95.39,95.39
333,20240701 11:30:00 US/Central,SR3H5,95.39,95.395,95.39,95.39
334,20240701 11:40:00 US/Central,SR3H5,95.39,95.395,95.385,95.39
335,20240701 11:50:00 US/Central,SR3H5,95.39,95.39,95.38,95.38
336,20240701 12:00:00 US/Central,SR3H5,95.38,95.39,95.38,95.39
337,20240701 12:10:00 US/Central,SR3H5,95.39,95.395,95.385,95.39
338,20240701 12:20:00 US/Central,SR3H5,95.39,95.395,95.385,95.39
339,20240701 12:30:00 US/Central,SR3H5,95.39,95.395,95.39,95.39
340,20240701 12:40:00 US/Central,SR3H5,95.39,95.395,95.39,95.39
341,20240701 12:50:00 US/Central,SR3H5,95.39,95.395,95.39,95.39
342,20240701 13:00:00 US/Central,SR3H5,95.39,95.395,95.385,95.39
343,20240701 13:10:00 US/Central,SR3H5,95.39,95.39,95.385,95.39
344,20240701 13:20:00 US/Central,SR3H5,95.39,95.395,95.385,95.39
345,20240701 13:30:00 US/Central,SR3H5,95.39,95.395,95.385,95.39
346,20240701 13:40:00 US/Central,SR3H5,95.39,95.4,95.39,95.4
347,20240701 13:50:00 US/Central,SR3H5,95.4,95.4,95.39,95.39
348,20240701 14:00:00 US/Central,SR3H5,95.39,95.4,95.39,95.39
349,20240701 14:10:00 US/Central,SR3H5,95.39,95.395,95.39,95.39
350,20240701 14:20:00 US/Central,SR3H5,95.39,95.4,95.39,95.39
351,20240701 14:30:00 US/Central,SR3H5,95.39,95.4,95.39,95.4
352,20240701 14:40:00 US/Central,SR3H5,95.4,95.405,95.395,95.4
353,20240701 14:50:00 US/Central,SR3H5,95.4,95.405,95.395,95.405
354,20240701 15:00:00 US/Central,SR3H5,95.405,95.41,95.395,95.405
355,20240701 15:10:00 US/Central,SR3H5,95.405,95.41,95.4,95.405
356,20240701 15:20:00 US/Central,SR3H5,95.405,95.41,95.4,95.405
